idmunici|ccdd|ccpp|ccdi|Departamento|Provincia|Distrito|Tipomuni|VFI|P03|P04_1|P04_2|P04_3|P04_4|P04_5|P04_6|P05_CC|P05_1|P05_2|P05_3|P06_CC|P06|P07|P08|P09|P10_1|P10_2|P10_3|P10_4
010101|01|01|01|AMAZONAS|CHACHAPOYAS|CHACHAPOYAS|1|1|0|2|ORTIZ ARRIETA|588||||041|477002|||041|477002|WWW.FACEBOOK.COM/MUNICHACHAPOYAS|ALCALDIA@MUNICHACHAPOYAS.GOB.PE|WWW.MUNICHACHAPOYAS.GOB.PE|VICTOR RAUL|CULQUI|PUERTA|2
010102|01|01|02|AMAZONAS|CHACHAPOYAS|ASUNCION|2|1|0|3|NICARMAL|S/N||||041|920696668|||041|947744237|-|HELDAMOLINARI08@GMAIL.COM|-|HELDA|MOLINARI|TRAUCO|1
010103|01|01|03|AMAZONAS|CHACHAPOYAS|BALSAS|2|1|0|1|MARAÑÓN|565||||041|972887124|||041|932575822|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-BALSAS-102812701358753/|MUNIBALSAS2019@GMAIL.COM|-|SEGUNDO PABLO|MAZA|SANCHEZ|2
010104|01|01|04|AMAZONAS|CHACHAPOYAS|CHETO|2|1|2|2|AMAZONAS|S/N||||041|932487749|||041|932487749|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-CHETO-101151358221801/|MUNICHETO2019@GMAIL.COM|-|ELITA|CULQUIMBOZ|HUAMAN|1
010105|01|01|05|AMAZONAS|CHACHAPOYAS|CHILIQUIN|2|1|0|3|SAN MARTÍN|S/N||||041|954891249|||041|938391174|-|MDCHILIQUIN@HOTMAIL.COM|-|JAIME|PINEDO|SOPLA|2
010106|01|01|06|AMAZONAS|CHACHAPOYAS|CHUQUIBAMBA|2|1|0|2|SAN MARTÍN|S/N||||041|999225249|||041|999225249|-|HECTOR_DIA@HOTMAIL.COM|-|HECTOR|DIAZ|AÑASCO|2
010107|01|01|07|AMAZONAS|CHACHAPOYAS|GRANADA|2|1|0|3|MUNICIPAL|S/N||||041||||041||-|MDGRANADA2025@HOTMAIL.COM|-|SAMUEL|CANLLA|GOMEZ|2
010108|01|01|08|AMAZONAS|CHACHAPOYAS|HUANCAS|2|1|0|2|JOSÉ OLAYA|103||||041|923850507|478857||041|964812011|WWW.FACEBOOK.COM/MUNIHUANCAS/|WILIAN1F3@HOTMAIL.COM|WWW.MUNIHUANCAS.GOB.PE|WILIAN FREDY|PUSCAN|ALVA|2
010109|01|01|09|AMAZONAS|CHACHAPOYAS|LA JALCA|2|1|7|2|ALONSO DE ALVARADO|750||||041|985867645|||041|996929729|-|MUNILAJALCA@OUTLOOK.ES|-|WALTER HUMBERTO|CULQUI|VELASQUEZ|2
010110|01|01|10|AMAZONAS|CHACHAPOYAS|LEIMEBAMBA|2|1|8|2|SUCRE|121||||041||||041|943250764|WWW.FACEBOOK.COM/MUNILEIMEBAMBA/|MUNICIPALIDADLEIMEBAMBA@GMAIL.COM|-|LAYNES|SILVA|VIGO|2
010111|01|01|11|AMAZONAS|CHACHAPOYAS|LEVANTO|2|1|3|2|ALONSO DE ALVARADO|211||||041||||041|941940734|WWW.FACEBOOK.COM/MUNILEVANTO2019|MUNILEVANTO@HOTMAIL.COM|-|PABLO|VILCA|HUAMAN|2
010112|01|01|12|AMAZONAS|CHACHAPOYAS|MAGDALENA|2|1|0|1|PORVENIR|311||||041||||041|992272448|WWW.FACEBOOK.COM/DISTRITO-DE-MAGDALENA-AMAZONAS-133584756708594/|MUNICIPALIDADMAGDALENA2019@GMAIL.COM|-|JOSE LUIS|TENORIO|TAUMA|2
010113|01|01|13|AMAZONAS|CHACHAPOYAS|MARISCAL CASTILLA|2|1|0|2|LIMATAMBO|245|1|||041||||041|975211104|-|MUNI_MARISCALCASTILLA@HOTMAIL.COM|-|CARMITA|MAICELO|BUSTAMANTE|1
010114|01|01|14|AMAZONAS|CHACHAPOYAS|MOLINOPAMPA|2|1|0|1|5 DE FEBRERO|306||||041||||041|949170018|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-MOLINOPAMPA-109084220498244/|MDM.MOLINOPAMPA@GMAIL.COM|WWW.MUNIMOLINOPAMPA.GOB.PE|KENI ROY|PINEDO|MORI|2
010115|01|01|15|AMAZONAS|CHACHAPOYAS|MONTEVIDEO|2|1|1|2|TRANQUILIDAD|S/N||||041|952501456|||041|954800032|-|MUNIMONTEVIDEO2019@HOTMAIL.COM|-|DELMER MANUEL|VERGARAY|SANCHEZ|2
010116|01|01|16|AMAZONAS|CHACHAPOYAS|OLLEROS|2|1|0|2|SAN MARTÍN|S/N||||041||||041|920150791|WWW.FACEBOOK.COM/OLLEROS.AMAZONAS.7|MUNI.OLLEROS@YAHOO.COM|-|CARLO MAGNO|INGA|GALOC|2
010117|01|01|17|AMAZONAS|CHACHAPOYAS|QUINJALCA|2|1|0|2|TRIUNFO|S/N||||041|998478579|||041|959404735|WWW.FACEBOOK.COM/MUNIQUINJALCA|MUNIQUINJALCA2019@GMAIL.COM|-|BRAULIO BALDEMAR|GOÑAS|CULQUI|2
010118|01|01|18|AMAZONAS|CHACHAPOYAS|SAN FRANCISCO DE DAGUAS|2|1|0|1|PIPUS|716||||041|999069715|992217010||041|951319014|-|MUNI.SAN.FRANCISCO.DAGUAS@GMAIL.COM|-|ALFREDO|GOMEZ|CHAVEZ|2
010119|01|01|19|AMAZONAS|CHACHAPOYAS|SAN ISIDRO DE MAINO|2|1|0|2|AMAZONAS|374||||041|940554549|||041|942046158|-|MUNI.MAINO@GMAIL.COM|-|VICTOR AUGUSTO|ALVAREZ|OROSCO|2
010120|01|01|20|AMAZONAS|CHACHAPOYAS|SOLOCO|2|1|5|3|FRANCISCO PIZARRO|S/N||||041|503617|||041||-|MDSOLOCO@GMAIL.COM|-|EDER JHON|ZUTA|TOCHON|2
010121|01|01|21|AMAZONAS|CHACHAPOYAS|SONCHE|2|1|0|2|SIMON BOLÍVAR|S/N||||041||||041|941940294|WWW.FACEBOOK.COM/MUNISONCHE|MUNISONCHE@OUTLOOK.COM|-|EDINSON|PALMER|MAS|2
010201|01|02|01|AMAZONAS|BAGUA|BAGUA|1|1|10|1|HÉROES DEL CENEPA|1060||||041||||041|944823118|WWW.FACEBOOK.COM/MUNICIPALIDADBAGUA/|MUNBAGUA@MUNIBAGUA.GOB.PE|WWW.MUNIBAGUA.GOB.PE|FERRY|TORRES|HUAMAN|2
010202|01|02|02|AMAZONAS|BAGUA|ARAMANGO|2|1|0|1|28 DE JULIO|309||||041|976571531|||041|976571531|WWW.FACEBOOK.COM/MUNICIPALIDADARAMANGO|MUNIARAMANGO2019_2022@HOTMAIL.COM|-|NILDER|RUBIO|LOZANO|2
010203|01|02|03|AMAZONAS|BAGUA|COPALLIN|2|1|0|2|GARCILAZO DE LA VEGA|321||||041|920713268|||041|993151969|WWW.FACEBOOK.COM/MUNI.COPALLIN|MUNICIPALIDADDISTRITALDECOPAL@GMAIL.COM|WWW.MUNICOPALLIN.GOB.PE|ELIAS|FERNANDEZ|ARISTA|2
010204|01|02|04|AMAZONAS|BAGUA|EL PARCO|2|1|0|2|AMAZONAS|221|1|1||041|964796817|||041|945347679|WWW.FACEBOOK.COM/MUNICIPALIDADDISTRITALELPARCO|MD_ELPARCO@HOTMAIL.COM|-|AMARU JAIRO|TELLO|VASQUEZ|2
010205|01|02|05|AMAZONAS|BAGUA|IMAZA|2|1|1|1|AWAJUN|1||||041|965457558|||041|989912375|WWW.FACEBOOK.COM/MUNICHIRIACO/|MUNIDIMAZA@HOTMAIL.COM|WWW.MUNIIMAZA.GOB.PE|ALEJANDRO|MIKAYU|YAGKUAG|2
010206|01|02|06|AMAZONAS|BAGUA|LA PECA|2|1|0|1|INDEPENDENCIA|619||||041||||041|954151929|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-LA-PECA-587765134984340|MUNICIPALIDADLAPECA2019@GMAIL.COM|-|FIDEL|JARA|CABRERA|2
010301|01|03|01|AMAZONAS|BONGARA|JUMBILLA|1|1|1|2|GARCILASO DE LA VEGA|355||||041|928433063|||041||-|MUNIBONGARA@HOTMAIL.COM|WWW.MUNIBONGARA.GOB.PE|ROMULO FLUMENCIO|VARGAS|MAS|2
010302|01|03|02|AMAZONAS|BONGARA|CHISQUILLA|2|1|0|6|PLAZA DE ARMAS|S/N||||041||||041|984272521|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-CHISQUILLA-107186874060443/|CHISQUILLAMUNICIPALIDAD@GMAIL.COM|-|EVELIN AURORA|CRUZ|LAPIZ|1
010303|01|03|03|AMAZONAS|BONGARA|CHURUJA|2|1|0|6|PLAZA DE ARMAS|105||||041|917757698|||041|917757698|-|MUNICHURUJA@HOTMAIL.COM|-|GEINER|ESPINOZA|MEZA|2
010304|01|03|04|AMAZONAS|BONGARA|COROSHA|2|1|1|2|SAN LUCAS|S/N|5|2|10|041|950467653|950467653|950467653|041|950467653|WWW.FACEBOOK.COM/MUNICOROSHA|MUNICOROSHA@GMAIL.COM|WWW.MUNICOROSHA.GOB.PE|NILSON|CANO|VALDEZ|2
010305|01|03|05|AMAZONAS|BONGARA|CUISPES|2|1|0|2|UNIÓN|266|5|31||041||||041|945246771|WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-CUISPES-113468733779113/|MUNICIPALIDADCUISPES@GMAIL.COM|-|NEISER|GALOC|CAVA|2
010306|01|03|06|AMAZONAS|BONGARA|FLORIDA|2|1|0|2|FLORIDA|501||||041||||041|979097125|WWW.FACEBOOK.COM/MUNI.DISTRITALDEFLORIDA|MUNIFLORIDA@HOTMAIL.COM|-|PERCY OSWALDO|CHAVEZ|ESCALANTE|2
010307|01|03|07|AMAZONAS|BONGARA|JAZAN|2|1|8|1|MARGINAL|172||||041||||041|976189596|WWW.FACEBOOK.COM/MUNIJAZANPRG|MUNICIPALIDAD.JAZAN@MUNIJAZAN.GOB.PE|WWW.MUNIJAZAN.GOB.PE|DANIEL|GUIOP|HUAMAN|2
010308|01|03|08|AMAZONAS|BONGARA|RECTA|2|1|0|2|SAN MARTÍN|S/N||||041|915252113|||041|966182473|-|MUNIRECTA@GMAIL.COM|-|MANUEL JESUS|LOPEZ|GOLAC|2
010309|01|03|09|AMAZONAS|BONGARA|SAN CARLOS|2|1|0|3|SANTA CATALINA|S/N||||041|944947150|||041|960292262|-|MUNIDISTRITOSANCARLOS@GMAIL.COM|-|NEPTALI ELIAS|ALVAREZ|SANTAMARIA|2
010310|01|03|10|AMAZONAS|BONGARA|SHIPASBAMBA|2|1|0|2|PROGRESO|382||||041|995036089|||041|995036089|-|SHIPASBAMBA2019@HOTMAIL.COM|-|PEPE|PEREZ|SILVA|2
010311|01|03|11|AMAZONAS|BONGARA|VALERA|2|1|5|1|GOCTA|6||1|2|041|910984044|956974302|944605721|041|992779219|-|MUNIVALERA_MDV@HOTMAIL.COM|-|ESTEBAN SAMUEL|VALQUI|RAMOS|2
010312|01|03|12|AMAZONAS|BONGARA|YAMBRASBAMBA|2|1|0|2|ANGELINO CULQUITON|195||||041|978066793|||041|985373720|WWW.FACEBOOK.COM/MUNIDISTRITALYAMBRASBAMBA/|MUNIDISTRITALYAMBRASBAMBA@GMAIL.COM|-|JOSE TELMO|HERNANDEZ|ZELADA|2
010401|01|04|01|AMAZONAS|CONDORCANQUI|NIEVA|1|1|2|2|GONZALO PUERTA|100||||041|816805|||041|816805|WWW.FACEBOOK.COM/MPCONDORCANQUI|MUNICONDORCANQUI@GMAIL.COM|WWW.MUNICONDORCANQUI.GOB.PE|HECTOR ORLANDO|REQUEJO|LONGINOTE|2
010402|01|04|02|AMAZONAS|CONDORCANQUI|EL CENEPA|2|1|0|2|SENTAMAI|201||||041|965935782|||041||WWW.FACEBOOK.COM/MUNICIPALIDAD-DISTRITAL-DE-EL-CENEPA-2236044876647644/|010402CENEPA@GMAIL.COM|-|CARLOS|ALBERTO|YANKIKAT|2
